SCHOOLJAAR;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;PLAATSNAAM;PROVINCIE;ONDERWIJSTYPE VO;VAKCODE;AFKORTING VAKNAAM;VAKNAAM;SCHOOLEXAMEN BEOORDELING;TOTAAL AANTAL SCHOOLEXAMENS MET BEOORDELING;AANTAL SCHOOLEXAMENS MET BEOORDELING MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL SCHOOLEXAMENS MET CIJFER;GEM. CIJFER TOTAAL AANTAL SCHOOLEXAMENS;AANTAL SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL CENTRALE EXAMENS;GEM. CIJFER TOTAAL AANTAL CENTRALE EXAMENS;AANTAL CENTRALE EXAMENS MEETELLEND VOOR DIPLOMA;GEM. CIJFER CENTRALE EXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER CIJFERLIJST
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0353;lo;lichamelijke opvoeding;V;63;63;0;0,0;0;0,0;0;0,0;0;0,0;0,0
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0371;kcv;klassieke culturele vorming;;0;0;1;8,0;0;0,0;0;0,0;0;0,0;8,0
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1001;netl;Nederlandse taal en literatuur;;0;0;94;6,2;94;6,2;94;5,9;94;5,9;6,1
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1002;entl;Engelse taal en literatuur;;0;0;94;6,7;94;6,7;94;6,3;94;6,3;6,5
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1003;fatl;Franse taal en literatuur;;0;0;19;6,4;19;6,4;19;6,7;19;6,7;6,6
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1004;dutl;Duitse taal en literatuur;;0;0;50;6,8;50;6,8;50;6,0;50;6,0;6,5
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1018;biol;biologie;;0;0;37;6,4;37;6,4;37;6,5;37;6,5;6,5
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1019;maat;maatschappijleer;;0;0;94;6,8;0;0,0;0;0,0;0;0,0;6,8
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1020;ckv;culturele en kunstzinnige vorming;G;53;53;0;0,0;0;0,0;0;0,0;0;0,0;0,0
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1020;ckv;culturele en kunstzinnige vorming;V;40;40;0;0,0;0;0,0;0;0,0;0;0,0;0,0
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1021;ges;geschiedenis;;0;0;59;5,7;59;5,7;59;6,1;59;6,1;6,0
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1022;econ;economie;;0;0;56;5,9;56;5,9;56;5,8;56;5,8;5,8
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1023;nat;natuurkunde;;0;0;27;6,2;27;6,2;27;6,5;27;6,5;6,4
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1024;wisA;wiskunde A;;0;0;58;6,3;58;6,3;58;7,0;58;7,0;6,7
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1025;wisB;wiskunde B;;0;0;25;5,6;25;5,6;25;5,8;25;5,8;5,7
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1028;schk;scheikunde;;0;0;35;5,6;35;5,6;35;6,9;35;6,9;6,2
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1030;kubv;kunst (beeldende vormgeving);;0;0;15;6,7;15;6,7;15;6,7;15;6,7;6,7
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1031;kumu;kunst (muziek);;0;0;12;6,9;12;6,9;12;6,6;12;6,6;6,8
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1035;nlt;natuur, leven en technologie;;0;0;16;6,5;0;0,0;0;0,0;0;0,0;6,6
